batsman,out,numberofballs,average,strikerate,total_runs
PD Collingwood,4,156,50.75,130.1282051,203
SK Warne,19,213,10.42105263,92.95774648,198
SP Fleming,9,165,21.77777778,118.7878788,196
AS Raut,11,167,17.63636364,116.1676647,194
BJ Rohrer,7,141,27.57142857,136.8794326,193
Salman Butt,7,161,27.57142857,119.8757764,193
YV Takawale,8,178,24,107.8651685,192
Bipul Sharma,6,121,31.16666667,154.5454545,187
C Ingram,10,154,18.4,119.4805195,184
B Kumar,23,189,8,97.35449735,184
FY Fazal,9,172,20.33333333,106.3953488,183
JJ Roy,5,135,36.6,135.5555556,183
CR Brathwaite,14,110,13,165.4545455,182
AC Voges,6,142,30.16666667,127.4647887,181
AB Agarkar,8,152,22.375,117.7631579,179
C Munro,9,141,19.77777778,126.2411348,178
MF Maharoof,10,122,17.7,145.0819672,177
DH Yagnik,9,135,18.88888889,125.9259259,170
N Pooran,6,106,28.33333333,160.3773585,170
CM Gautam,9,148,18.77777778,114.1891892,169
MG Johnson,14,161,12,104.3478261,168
MN van Wyk,3,132,55.66666667,126.5151515,167
DW Steyn,22,157,7.545454545,105.7324841,166
PA Reddy,10,160,16.4,102.5,164
R Parag,4,126,40.25,127.7777778,161
MN Samuels,12,171,13.41666667,94.15204678,161
Ankit Sharma,10,108,16,148.1481481,160
RE van der Merwe,11,141,14.45454545,112.7659574,159
R McLaren,8,169,19.875,94.08284024,159
R Dhawan,7,135,21.85714286,113.3333333,153
A Hales,6,118,25,127.1186441,150
SM Pollock,8,111,18.375,132.4324324,147
S Vidyut,8,108,18.125,134.2592593,145
K Gowtham,12,83,12.08333333,174.6987952,145
Mohammad Nabi,8,91,17.75,156.043956,142
N Saini,12,144,11.83333333,98.61111111,142
Sachin Baby,9,101,15.22222222,135.6435644,137
S Anirudha,8,110,17,123.6363636,136
SB Styris,7,133,18.71428571,98.4962406,131
W Jaffer,7,121,18.57142857,107.4380165,130
S Gopal,8,118,16.125,109.3220339,129
Kamran Akmal,4,78,32,164.1025641,128
D Wiese,5,90,25.4,141.1111111,127
P Dogra,12,138,10.58333333,92.02898551,127
UT Khawaja,5,100,25.4,127,127
M Morkel,11,90,11.45454545,140,126
MC Juneja,7,127,17.85714286,98.42519685,125
BB Samantray,5,113,25,110.619469,125
B Lee,10,96,12.4,129.1666667,124
MM Sharma,14,117,8.785714286,105.1282051,123
AB McDonald,5,99,24.6,124.2424242,123
UT Yadav,12,124,10.16666667,98.38709677,122
Niraj Patel,5,118,24.2,102.5423729,121
DL Vettori,7,109,17.28571429,111.0091743,121
AC Blizzard,7,89,17.14285714,134.8314607,120
RJ Harris,12,111,9.75,105.4054054,117
Misbah-ul-Haq,9,81,13,144.4444444,117
Z Khan,15,138,7.8,84.7826087,117
D Short,7,99,16.57142857,117.1717172,116
KK Cooper,9,68,12.88888889,170.5882353,116
TG Southee,6,90,19.16666667,127.7777778,115
R Tewatia,7,89,16.42857143,129.2134831,115
M Kartik,7,108,16.14285714,104.6296296,113
DJ Harris,3,101,37,109.9009901,111
HV Patel,8,68,13.375,157.3529412,107
JDP Oram,8,108,13.25,98.14814815,106
LJ Wright,4,60,26.5,176.6666667,106
Rashid Khan,12,63,8.75,166.6666667,105
RJ Quiney,7,102,14.71428571,100.9803922,103
DS Kulkarni,9,106,11.22222222,95.28301887,101
MS Gony,9,70,11,141.4285714,99
SD Chitnis,7,89,14.14285714,111.2359551,99
MJ Clarke,5,94,19.6,104.2553191,98
CJ Ferguson,6,116,16.33333333,84.48275862,98
MA Starc,6,98,16,97.95918367,96
S Curran,4,55,23.75,172.7272727,95
AJ Tye,7,70,13.14285714,131.4285714,92
PR Shah,8,91,11.5,101.0989011,92
DJ Jacobs,7,97,13.14285714,94.84536082,92
